url,test cases?, # of stars
github.com/BitDrawOfficial/SmartContract,no,0star
,,
github.com/PayUSD/smartcontracts,no,0star
,,
github.com/BouncyCoin/SmartContracts,yes,2star
,,
github.com/SRXIO/SmartContracts,yes,2star
,,
github.com/Crypto-ON/Crowdsale,no,0star
,,
github.com/KheperSoftwareHouse/kheper-smartcontract,no,2star
,,
github.com/SOCIALCHAINZ/SmartContract,no,0star
,,
github.com/PauloVieiraSousa/zopacoin,yes,0star
,,
github.com/ethermon/Ethereum,no,0star
,,
github.com/exolover/smartcontracts,no,0star
,,
github.com/sumitpatel93/SmartContracts,no,2star
,,
github.com/Markethive/markethive-smartcontract,no,2star
,,
github.com/luc1dLife/SmartContracts,no,2star
,,
github.com/shine2lay/SmartContracts,yes,2star
,,
github.com/liwentao1118/lottery-smartcontract,yes,2star
,,
github.com/William-mendes/smartcontract-example,yes,2star
,,
github.com/cagriaydin/lottery-smartcontract,yes,2star
,,
github.com/Hawk94/hearth,yes,0star
,,
github.com/billuser/ICO,no,0star
,,
github.com/klaytnTutorial-QuizeGameDApp/SmartContract,no,0star
,,
github.com/Freeex-Harold/sdplatform-smartcontract,yes,0star
,,
github.com/AmmarAshfaq/Lottery-Contract-Game,yes,1star
,,
https://github.com/swissalpsenergy/sam-smartcontract,no,0star
,,
github.com/swisschain/SmartContract.SimpleErc20,no,0star
,,
https://github.com/Pincommunity/smartcontract,no,1star
,,
https://github.com/lirimsulejmani/crowdsale-smartcontract,yes,2star
,,
https://github.com/WendySanarwanto/tronbox-sample,yes,0star
,,
https://github.com/wearetheledger/ethereum-smartcontract-demo,yes,2star
,,
https://github.com/walliDprotocol/wallid-SmartContracts,yes,2star
,,
https://github.com/rscohen/SmartContractsGenerator,no,2star
,,
https://github.com/SponB/sponb-ico-smartcontracts,yes,2star
,,
https://github.com/upandey3/Ethereum-SmartContract,no,2star
,,
https://github.com/Sudarshan1021/Voting-System-using-Blockchain,no,0star
,,
https://github.com/moldcoin/token,yes,0star
,,
https://github.com/crypn3/hubex-pro-smartcontract,no,0star
,,
https://github.com/ojz/tas,yes,0star
,,
https://github.com/TrueDeck/TrueDeckToken,no,0star
,,
https://github.com/CryptoPepes/pepe-smartcontracts,yes,0star
,,
https://github.com/TABULARASA-IO/smartcontracts,yes,1star
,,
https://github.com/ra-coin/smartcontract,no,0star
,,
https://github.com/tropcicstefan/mapper,no,0star
,,
https://github.com/ganadara135/king,no,0star
,,
https://github.com/Techtradecoin/Techtradecoin.TEC.Smartcontract,no,0star
,,
https://github.com/asad926/freelance_contracts,no,0star
,,
https://github.com/liwentao1118/crowd-smartContract,no,2star
,,
https://github.com/seki-seki/manageAirDrop,yes,0star
,,
https://github.com/PrinceJoshua/Smartcontrsct-Class,no,0star
,,
https://github.com/SvenMeyer/supplychain,no,0star
,,
https://github.com/AvailCom/Contract_Private_Sale,no,0star
,,
https://github.com/rama77/SmartContractHija,no,0star
,,
https://github.com/fakel/RADION,no,0star
,,
https://github.com/Fer-Bonilla/solidity-blockchain-projects,yes,0star
,,
https://github.com/rgsoloaesan/Inbox,yes,0star
,,
https://github.com/maduana3/csc299,no,0star
,,
https://github.com/ahmetson/unik,no,0star
,,
https://github.com/jimmy-collazos/smartcontract-basic-example,yes,0star
,,
https://github.com/dietbitcoin/dietbitcoin,no,1star
,,
https://github.com/AndiaDev/SmartContracts,no,1star
,,
https://github.com/Armynt/myntcoin,no,0star
,,
https://github.com/vatsal095/Election-,no,0star
,,
https://github.com/ricvoyre/Bitcademy_ICO,no,0star
,,
https://github.com/PayAccept/smartcontract,yes,1star
,,
https://github.com/WARDTOKEN/PosReward,no,0star
,,
https://github.com/JibbitGmbH/Tokensale,no,0star
,,
https://github.com/valentinchelle/whiteHatProject,yes,1star
,,
https://github.com/adria0/gometh-contracts,no,0star
,,
https://github.com/hunter1015/Ethereum-SmartContract,no,0star
,,
https://github.com/Twibap/EVM-contract,no,0star
,,
https://github.com/StefH/Solidity-Examples,yes,1star
,,
https://github.com/LinkaKorea/linka_token,no,0star
,,
https://github.com/SW-MAESTRO-MITION/smartcontract_truffle,no,0star
,,
https://github.com/TaibiaoGuo/ulordContractExample,no,0star
,,
https://github.com/pangolin-lab/smartContract,no,0star
,,
https://github.com/ovidiu925/KBCv2,no,0star
,,
